,0,0
0,0.641935,0.801745
1,0.66658,0.97563
2,0.714969,0.975127
3,0.650959,0.946825
4,0.601969,0.803824
5,0.65071,0.756962
6,0.638998,0.742078
7,0.614683,0.7616
8,0.641867,0.755937
9,0.605408,0.732812
10,0.617923,0.765901
11,0.766352,1.93802
12,0.743189,1.95525
13,0.643999,1.57562
14,0.847051,1.48851
15,0.805669,1.93173
16,0.854717,1.98129
17,0.751707,1.82644
18,0.765186,1.65962
19,0.699667,1.84869
20,0.736292,1.94476
21,0.732608,1.16645
22,0.760495,1.62247
23,0.649937,1.61093
24,0.724073,1.15774
25,0.705385,1.1227
26,0.737482,1.17451
27,0.772539,1.79014
28,0.752033,1.91291
29,0.804372,1.94056
30,0.826338,1.9787
31,0.798221,1.74114
32,0.832829,1.4571
33,0.705813,1.71279
34,0.651236,1.44347
35,0.734206,1.80882
36,0.789003,1.8108
37,0.822383,1.94809
38,0.779911,1.93645
39,0.710328,1.12676
40,0.759022,1.8493
41,0.806478,1.933
42,0.720717,1.08443
43,0.701924,1.1151
44,0.707119,1.28654
45,0.610748,1.06085
46,0.821613,1.68655
47,0.814149,1.87352
48,0.890881,1.95919
49,0.800271,1.95336
50,0.821444,1.48451
51,0.772673,1.31674
52,0.729318,1.03299
53,0.748223,1.12835
54,0.821536,1.67794
55,0.857841,1.75819
56,0.695485,1.11493
57,0.741153,1.09366
58,0.765916,1.93693
59,0.729024,1.74031
60,0.720454,1.12847
61,0.739982,1.05423
62,0.747607,1.10432
63,0.7484,1.19532
64,0.655292,1.65972
65,0.818904,1.68335
66,0.645079,1.80795
67,0.665641,1.64408
68,0.674317,1.77284
69,0.662409,1.72191
70,0.626214,1.5299
71,0.672382,1.68469
72,0.665504,1.82695
73,0.700434,1.88989
74,0.709279,1.8773
75,0.667018,1.75558
76,0.67366,1.74772
77,0.806534,1.94447
78,0.733266,1.95202
79,0.684344,1.4966
80,0.745628,1.59219
81,0.694794,1.51521
82,0.558595,1.33141
83,0.651027,1.63753
84,0.546731,1.2819
85,0.635811,1.54225
86,0.686221,1.78613
87,0.666348,1.83211
88,0.579813,1.86048
89,0.690321,1.98351
90,0.705031,1.8825
91,0.662614,1.80581
92,0.561207,1.59335
93,0.563337,1.62023
94,0.509324,1.65247
95,0.574654,1.85465
96,0.546518,1.77661
97,0.710053,1.64817
98,0.665385,1.64593
99,0.605324,1.5695
100,0.672101,2.04647
101,0.701705,2.03538
102,0.85574,2.19928
103,0.765149,2.17979
104,0.72725,2.10761
105,0.91709,2.69286
106,0.903501,2.65784
107,0.767141,2.05665
108,0.760407,2.2396
109,0.845551,2.1505
110,0.852886,2.11364
111,0.828794,2.37072
112,0.829435,2.30296
113,0.847067,2.36949
114,0.857,2.64056
115,0.779626,2.82967
116,0.799081,2.75448
117,0.774186,2.41965
118,0.832629,2.03886
119,0.792705,2.11285
120,0.858997,2.06157
121,0.780585,2.04553
122,0.836369,2.57926
123,0.763698,2.26827
124,0.83054,2.09549
125,0.827676,2.08961
126,0.843129,2.16992
127,0.744963,2.46698
128,0.847115,2.16605
129,0.78957,2.13259
130,0.878904,2.14113
131,0.93466,2.75505
132,0.867889,2.06621
133,0.892431,2.14607
134,0.872942,2.30534
135,0.743703,2.64278
136,0.730891,2.94573
137,0.749236,2.6906
138,0.761894,2.74618
139,0.711593,2.21887
140,0.723774,2.24688
141,0.664113,2.47468
142,0.708866,2.83301
143,0.635543,2.21802
144,0.708116,2.85004
145,0.842098,2.89634
146,0.709855,2.3301
147,0.749691,2.69642
148,0.741311,2.72357
149,0.597389,2.06173
150,0.702714,2.63428
151,0.762228,2.37087
