,0.741497,0.831651
617,1.76461,49.9317
618,1.82959,49.7486
619,1.57389,49.6928
620,1.72833,49.6876
621,1.53167,49.0663
622,1.54397,49.2099
623,1.59874,49.5403
624,1.63487,49.9626
625,1.62245,49.7013
626,1.29947,49.1055
627,1.61644,49.9163
628,1.55192,49.8675
629,1.64153,49.5189
630,1.54936,49.7181
631,1.70788,49.9593
632,1.6615,49.2057
633,1.89255,49.6124
634,1.50831,49.8158
635,1.62581,49.9593
636,1.68847,49.8845
637,1.88188,49.6737
638,1.61101,49.8836
639,1.67329,49.7951
640,1.54461,49.1038
641,-1.65422,9.54334
642,-1.31416,9.85173
643,-1.49323,9.48983
644,-1.71198,9.65925
645,-1.3362,10.101
646,-1.37891,10.5182
647,-1.12537,10.5491
648,-1.67821,10.2327
649,-1.38803,10.552
650,-1.34028,10.0259
651,-1.30822,10.0226
652,-1.38769,10.386
653,-1.40385,10.1207
654,-1.50797,10.6504
655,-1.41917,10.4233
656,-1.38116,10.1228
657,-2.34821,10.266
658,-1.14514,10.5872
659,-1.17153,10.7936
660,-1.85983,10.3514
661,-1.37049,10.2491
662,-1.93781,10.52
663,-1.07632,10.5693
664,-1.2618,10.9512
665,-1.23705,10.1664
666,-1.20906,10.1281
667,-2.34639,10.7953
668,-1.46156,10.4668
669,-1.13808,10.6907
670,-1.25498,11.0751
671,-1.64144,11.1888
672,-1.60476,11.1204
673,-1.36462,11.3872
674,-2.19516,11.812
675,-1.12858,11.9234
676,-1.12505,12.1043
677,-0.943084,12.3665
678,-2.09574,14.782
679,-1.44841,14.9804
680,-0.730099,14.5099
681,-4.06703,15.4686
682,-1.49643,15.2406
683,-0.956793,15.0909
684,-1.20436,15.8496
685,-0.695615,15.069
686,-0.585062,15.4513
687,-3.68695,15.4887
688,-1.28958,16.1331
689,-1.08995,16.1611
690,-1.55301,16.4813
691,-1.24583,16.9339
692,-2.97337,16.8661
693,-1.13626,16.1008
694,-1.09692,16.0023
695,-1.1293,16.0747
696,-1.35223,17.1796
697,-1.13437,17.5598
698,-0.7603,41.0274
699,-1.70637,41.341
700,-0.94956,41.7079
701,-1.85021,41.7825
702,-1.60047,41.2469
703,-0.962216,41.7168
704,-1.13427,41.5081
705,-0.978198,41.371
706,-2.14366,42.5862
707,-1.07942,42.4703
708,-1.16341,42.4984
709,-1.25209,42.5375
710,-1.27374,42.7931
711,-0.947105,42.1327
712,-1.97819,42.1932
713,-1.04958,42.7485
714,-1.06852,42.3618
715,-0.94882,42.8515
716,-2.28706,46.182
717,-1.10811,46.5036
718,-0.956293,46.0348
719,-0.939775,46.744
720,-0.922151,46.958
721,-1.41969,47.6829
722,-0.772637,47.5643
723,-1.60986,47.37
724,-3.03621,47.7538
725,-1.12807,48.2787
726,-2.84019,48.3557
727,-1.82269,48.5269
728,-1.22004,48.6138
729,-1.18238,48.5209
730,-1.22891,48.7234
731,-0.971577,48.2555
732,-3.29853,48.6731
733,-1.37245,48.7584
734,-2.67098,49.7043
735,-1.16171,49.5356
736,-0.619773,49.6607
737,-1.42475,49.7332
738,-0.655588,49.7104
739,-0.78881,49.5915
