,0,1
0,1.25414,3.97006
1,0.862931,3.14645
2,1.01001,4.98532
3,1.46967,4.72245
4,1.22661,4.30428
5,1.41785,4.35239
6,1.32248,4.22731
7,0.875025,4.31995
8,0.924842,4.61124
9,1.13096,4.71159
10,1.31392,5.25505
11,1.17269,5.84797
12,1.16024,5.27438
13,1.50274,5.78372
14,1.34255,5.94553
15,0.982512,5.26381
16,0.900861,5.97686
17,1.10225,5.47717
18,1.25692,5.92891
19,0.850076,5.79275
20,2.36155,6.83862
21,2.22137,6.25619
22,0.885943,6.02282
23,0.988361,6.29335
24,0.969868,6.02307
25,1.36606,6.93335
26,1.39911,6.03167
27,1.64078,6.67615
28,1.07735,6.46565
29,1.37506,6.80501
30,0.897943,6.02259
31,0.977478,6.34741
32,0.989536,6.97903
33,2.24902,6.69784
34,1.89716,6.9154
35,1.62706,6.94324
36,1.73155,6.84753
37,1.89712,6.87479
38,0.947803,6.57475
39,2.3989,6.8784
40,0.995091,6.5302
41,1.03008,6.91099
42,1.05162,6.70703
43,0.957041,6.63548
44,0.932884,6.85292
45,0.945475,6.88681
46,0.973549,6.88823
47,0.851556,6.64752
48,0.804802,6.33943
49,0.847475,6.47893
50,0.866129,6.58081
51,0.779528,6.91822
52,0.786315,6.95336
53,0.762328,6.92727
54,0.788273,6.97335
55,0.764957,6.89719
56,0.855762,6.52571
57,0.77909,6.39398
58,0.904173,6.84062
59,0.677716,6.66279
60,0.690088,6.70376
61,0.775376,6.97383
62,0.774085,6.97179
63,0.756301,6.92466
64,0.749982,6.89283
65,0.729331,6.90304
66,0.72771,6.90002
67,0.740511,6.93472
68,0.749091,6.94771
69,0.761723,6.99643
70,0.738343,6.94427
71,0.745067,6.94154
72,0.753062,6.96648
73,0.736616,6.93727
74,2.13668,6.40967
75,2.23186,6.67914
76,1.04558,6.3853
77,2.32592,6.71958
78,1.04806,6.52906
79,2.00927,6.88088
80,1.51711,6.80007
81,2.38343,6.91182
82,2.27191,6.71898
83,2.24326,6.96243
84,1.22354,6.9165
85,1.44967,6.79017
86,1.82349,6.86334
87,1.53586,6.93751
88,1.30835,6.90428
89,2.02494,6.83614
90,2.12702,6.79234
91,2.12166,6.74594
92,1.4723,6.89612
93,1.52918,6.77162
94,2.20622,6.6404
95,1.42113,6.99673
96,1.13167,6.87247
97,1.28842,6.84465
98,2.25631,6.64781
99,2.52428,6.96993
100,1.11203,6.9719
101,1.7278,6.92786
102,1.02023,6.77503
103,1.29021,6.84385
104,1.84081,6.84302
105,2.28575,6.93768
106,1.56359,6.66122
107,0.866854,6.88778
108,0.871089,6.92987
109,1.13959,6.90355
110,0.964605,7.02047
111,1.51012,7.3128
112,1.15611,7.91551
113,2.52526,7.233
114,1.24569,7.13201
115,1.08749,7.17011
116,1.02069,7.18828
117,1.15604,7.53301
118,1.30762,7.04593
119,1.14349,7.52509
120,1.32277,7.09347
121,2.07366,7.00603
122,1.0806,7.84265
123,2.50095,7.3914
124,2.67509,7.43954
125,1.1956,7.28322
126,1.22271,7.61697
127,1.23013,7.75763
128,1.15578,7.80508
129,1.53371,7.02718
130,1.29523,7.26574
131,1.07131,7.2797
132,1.41093,7.04642
133,1.13759,7.61768
134,0.982749,7.12737
135,0.958051,7.09031
136,0.990435,7.18225
137,1.09085,7.18761
138,1.10101,7.17853
139,1.37135,7.42546
140,0.959602,7.02606
141,1.36155,7.37172
142,0.961322,7.00865
143,0.93501,7.05874
144,0.987729,7.28842
145,0.982489,7.27486
146,1.07276,7.26239
147,0.964908,7.05873
148,1.21347,7.26597
149,0.953184,7.0352
150,1.02965,7.49543
151,1.50357,7.52814
152,1.03297,7.22879
153,0.936463,7.72016
154,0.838234,7.15173
155,0.802253,7.04906
156,0.806981,7.08179
157,0.900869,7.375
158,0.904521,7.38236
159,0.867778,7.3293
160,0.942219,7.65115
161,0.930632,7.70747
162,0.973972,7.82441
163,0.814183,7.05425
164,0.876446,7.34431
165,0.810317,7.06722
166,0.890183,7.44092
167,1.04281,7.86771
168,0.948547,7.08066
169,1.02571,7.81318
170,0.877897,7.34455
171,1.26439,7.71616
172,0.796929,7.0474
173,0.824397,7.13432
174,0.966118,7.80432
175,0.910561,7.08914
176,1.12097,7.77061
177,0.838273,7.13516
178,0.837036,7.15416
179,0.804555,7.07238
180,0.882411,7.35565
181,0.835888,7.16147
182,0.88548,7.38645
183,0.901653,7.37005
184,0.95272,7.61853
185,0.771546,7.01863
186,0.790503,7.08546
187,0.875069,7.35974
188,0.970639,7.8215
189,0.979303,7.85731
190,0.793942,7.0942
191,0.896854,7.40203
192,0.788268,7.06719
193,0.76359,7.38886
194,0.805413,7.51227
195,0.904946,7.81121
196,1.50997,7.28154
197,1.83555,7.23325
198,2.45412,7.17875
199,1.63084,7.18872
200,1.67859,7.07869
201,1.58431,7.28407
202,1.55182,7.27618
203,2.75289,7.392
204,1.0998,7.20297
205,1.75551,7.01391
206,1.16836,7.56054
207,1.20105,7.52556
208,1.42452,7.1458
209,1.19496,7.51266
210,1.66656,7.06104
211,1.08149,7.58718
212,1.47294,7.22392
213,1.49014,7.09289
214,1.34862,7.12132
215,1.31118,7.81346
216,1.57919,7.07628
217,1.1305,7.41293
218,1.06503,7.64309
219,1.3148,7.5581
220,1.36539,7.66341
221,3.11363,7.84871
222,1.51144,7.13715
223,1.90692,7.09312
224,1.21025,7.00877
225,1.37717,7.42354
226,0.956711,7.63688
227,1.03398,7.34684
228,1.33879,7.87832
229,0.94215,7.22472
230,1.46329,7.59339
231,2.58823,7.2252
232,1.41661,7.11727
233,1.15798,7.78136
234,1.37296,7.41099
235,1.79796,7.05983
236,1.13823,7.46317
237,1.41415,7.27261
238,1.04511,7.36255
239,0.977878,7.76783
240,1.15273,7.25826
241,0.857147,7.24581
242,1.43629,7.14302
243,0.94498,7.24769
244,1.09596,7.13067
245,1.06564,7.46145
246,0.971402,7.83734
247,1.23811,8.43994
248,2.44271,8.21432
249,3.06452,8.35965
250,1.17731,8.25998
251,1.474,8.20509
252,1.0632,8.4114
253,1.24295,8.44645
254,1.13953,8.70564
255,1.15389,8.19089
256,1.31865,8.17594
257,1.09371,8.02765
258,1.01677,8.2667
259,1.07611,8.56224
260,0.950779,8.1331
261,1.18415,8.26795
262,0.978877,8.12146
263,1.04172,8.73578
264,1.10567,8.90009
265,1.08681,8.82507
266,1.09708,8.82217
267,1.02466,8.27516
268,1.08047,8.01677
269,0.9802,8.63141
270,1.02696,8.76079
271,1.01676,8.88334
272,0.941725,8.4854
273,1.08,8.78073
274,0.751848,8.03607
275,0.804985,8.16985
276,0.845251,8.29723
277,0.930588,8.59082
278,0.941679,8.66426
279,0.959533,8.75652
280,0.961935,8.76487
281,0.978567,8.89909
282,1.0044,8.90621
283,0.98022,8.86518
284,0.910363,8.54096
285,0.971194,8.63945
286,0.982519,8.6675
287,0.993471,8.71573
288,0.940996,8.65801
289,0.949439,8.67423
290,1.01802,8.88493
291,0.85391,8.19532
292,0.870224,8.22875
293,0.958693,8.52642
294,0.981402,8.65582
295,1.0006,8.72787
296,1.04167,8.92789
297,0.903288,8.35962
298,0.873388,8.40601
299,0.901782,8.5373
300,0.938436,8.6375
301,0.969126,8.77402
302,1.03096,8.99598
303,0.987757,8.71455
304,0.857721,8.7662
305,0.846903,8.74308
306,0.883948,8.72934
