,0,1
0,-1.65422,9.54334
1,-1.31416,9.85173
2,-1.49323,9.48983
3,-1.71198,9.65925
4,-1.3362,10.101
5,-1.37891,10.5182
6,-1.12537,10.5491
7,-1.67821,10.2327
8,-1.38803,10.552
9,-1.34028,10.0259
10,-1.30822,10.0226
11,-1.38769,10.386
12,-1.40385,10.1207
13,-1.50797,10.6504
14,-1.41917,10.4233
15,-1.38116,10.1228
16,-2.34821,10.266
17,-1.14514,10.5872
18,-1.17153,10.7936
19,-1.85983,10.3514
20,-1.37049,10.2491
21,-1.93781,10.52
22,-1.07632,10.5693
23,-1.2618,10.9512
24,-1.23705,10.1664
25,-1.20906,10.1281
26,-2.34639,10.7953
27,-1.46156,10.4668
28,-1.13808,10.6907
29,-1.25498,11.0751
30,-1.64144,11.1888
31,-1.60476,11.1204
32,-1.36462,11.3872
33,-2.19516,11.812
34,-1.12858,11.9234
35,-1.12505,12.1043
36,-0.943084,12.3665
37,-2.09574,14.782
38,-1.44841,14.9804
39,-0.730099,14.5099
40,-4.06703,15.4686
41,-1.49643,15.2406
42,-0.956793,15.0909
43,-1.20436,15.8496
44,-0.695615,15.069
45,-0.585062,15.4513
46,-3.68695,15.4887
47,-1.28958,16.1331
48,-1.08995,16.1611
49,-1.55301,16.4813
50,-1.24583,16.9339
51,-2.97337,16.8661
52,-1.13626,16.1008
53,-1.09692,16.0023
54,-1.1293,16.0747
55,-1.35223,17.1796
56,-1.13437,17.5598
57,-0.7603,41.0274
58,-1.70637,41.341
59,-0.94956,41.7079
60,-1.85021,41.7825
61,-1.60047,41.2469
62,-0.962216,41.7168
63,-1.13427,41.5081
64,-0.978198,41.371
65,-2.14366,42.5862
66,-1.07942,42.4703
67,-1.16341,42.4984
68,-1.25209,42.5375
69,-1.27374,42.7931
70,-0.947105,42.1327
71,-1.97819,42.1932
72,-1.04958,42.7485
73,-1.06852,42.3618
74,-0.94882,42.8515
75,-2.28706,46.182
76,-1.10811,46.5036
77,-0.956293,46.0348
78,-0.939775,46.744
79,-0.922151,46.958
80,-1.41969,47.6829
81,-0.772637,47.5643
82,-1.60986,47.37
83,-3.03621,47.7538
84,-1.12807,48.2787
85,-2.84019,48.3557
86,-1.82269,48.5269
87,-1.22004,48.6138
88,-1.18238,48.5209
89,-1.22891,48.7234
90,-0.971577,48.2555
91,-3.29853,48.6731
92,-1.37245,48.7584
93,-2.67098,49.7043
94,-1.16171,49.5356
95,-0.619773,49.6607
96,-1.42475,49.7332
97,-0.655588,49.7104
98,-0.78881,49.5915
