,0,1
0,-1.54361,1.83657
1,-1.74087,1.91931
2,-1.56251,1.87163
3,-1.75288,1.93509
4,-1.35631,1.92193
5,-1.34295,1.67208
6,-1.57048,1.86873
7,-1.75768,1.93929
8,-0.989715,3.26296
9,-0.930117,4.50832
10,-0.667968,4.58476
11,-1.81382,5.50191
12,-2.27688,5.63
13,-2.00331,5.34345
14,-2.04518,5.61363
15,-1.72987,6.37584
16,-1.83203,6.7044
17,-0.538715,6.7125
18,-2.30837,7.40228
19,-2.43272,7.44015
20,-1.67661,7.62347
21,-2.71862,7.96196
22,-1.61696,7.78853
23,-1.6935,7.91988
24,-2.20961,8.35978
25,-2.13422,8.92765
26,-2.36604,8.04611
27,-2.08285,8.84946
28,-1.97595,8.63795
29,-0.960086,8.69913
30,-1.10328,8.94791
31,-1.00798,8.98715
32,-2.52151,9.6492
33,-1.96284,9.78133
34,-3.11384,9.28485
35,-1.93141,9.4622
36,-2.28869,9.77596
37,-2.42936,9.21335
38,-1.35883,9.19918
39,-1.97972,9.8201
40,-1.72771,9.59373
41,-1.41425,9.66544
42,-1.69539,9.68288
43,-2.10206,9.44765
44,-3.91444,11.8666
45,-3.49941,11.2757
46,-1.78686,11.459
47,-2.29551,11.5554
48,-2.32189,11.6092
49,-2.21837,11.2939
50,-1.83411,11.6614
51,-2.03172,11.3692
52,-1.90815,11.007
53,-1.9229,11.119
54,-1.9967,11.54
55,-2.33398,11.9705
56,-1.97269,11.2702
57,-1.24936,11.9533
58,-1.9948,11.3542
59,-2.27435,11.1051
60,-3.30695,12.4279
61,-2.88011,12.7686
62,-2.85529,12.6898
63,-1.87383,12.5459
64,-2.11261,12.9779
65,-3.87155,12.0806
66,-2.19084,12.2515
67,-2.67543,12.6019
68,-3.15131,12.2312
69,-1.88306,12.7353
70,-1.09695,12.1139
71,-3.5237,13.5248
72,-11.1369,13.4721
73,-1.98154,13.4006
74,-2.52299,13.3222
75,-2.15595,13.3079
76,-2.31565,13.4553
77,-2.54291,13.0465
78,-3.21976,13.8006
79,-2.25579,13.3057
80,-1.99158,13.0519
81,-2.44652,13.0253
82,-1.9963,13.7761
83,-2.83497,13.5952
84,-2.49083,13.6934
85,-2.74933,15.3505
86,-2.90526,15.8516
87,-2.90585,15.766
88,-2.68738,15.1931
89,-2.76154,15.3946
90,-2.33717,15.291
91,-2.5968,15.6672
92,-5.14287,15.3494
93,-2.69664,16.6589
94,-4.75388,16.1231
95,-3.24334,16.7247
96,-3.20683,16.8731
97,-2.75273,16.1667
98,-1.89761,16.0761
99,-4.59514,16.2774
100,-2.4577,16.9877
101,-3.68423,17.2749
102,-2.40837,17.3659
103,-2.70523,17.7173
104,-2.82157,17.7236
105,-2.71908,17.8727
106,-2.61164,17.8202
107,-7.1688,18.7131
108,-3.10943,18.3927
109,-3.05878,18.1951
110,-3.33899,18.7878
111,-3.45995,18.8564
112,-3.32,19.6904
113,-4.01074,19.8774
114,-3.3981,19.5477
115,-7.43896,20.2659
116,-9.32489,23.8
117,-5.90776,25.5867
118,-4.17081,28.0548
119,-3.18186,29.957
120,-3.40669,29.7386
121,-4.3565,30.9013
122,-3.86835,30.3341
123,-3.86683,30.2525
124,-4.01352,30.9593
125,-4.26089,30.4044
126,-3.39744,30.9454
127,-3.46602,30.979
128,-2.92002,30.7875
129,-3.62414,30.4417
130,-3.91159,30.1135
131,-4.48982,30.3131
132,-3.75432,30.6896
133,-3.49398,30.5718
134,-3.33254,30.0696
135,-2.98625,30.2896
136,-4.16272,31.9573
137,-3.77917,31.0688
138,-3.64255,31.0137
139,-3.69409,31.0492
140,-4.05468,31.2332
141,-4.10245,31.6904
142,-3.64705,31.8505
143,-3.54051,31.6667
144,-3.42441,31.6936
145,-3.26033,31.2597
146,-3.32855,31.3607
147,-4.26946,31.2226
148,-4.61754,31.4373
149,-4.7668,31.879
150,-4.48353,31.821
151,-4.18673,32.225
152,-5.35633,32.831
153,-5.36257,32.89
154,-5.69103,32.7766
155,-3.85055,32.2221
156,-3.86804,32.0371
157,-3.68411,32.2299
158,-3.859,32.0084
159,-3.6225,32.4553
160,-5.80427,32.9011
161,-4.52085,32.3717
162,-3.80567,32.6261
163,-4.53969,33.0687
164,-5.05795,33.1396
165,-4.49188,33.4963
166,-4.42777,33.2508
167,-4.27708,33.8654
168,-4.15341,33.5817
169,-3.94299,33.4895
170,-3.96255,33.9551
171,-4.25828,33.7456
172,-4.17654,33.4074
173,-4.49658,34.1655
174,-4.54161,34.4777
175,-4.69648,34.5619
176,-5.24201,34.8277
177,-3.89432,34.7507
178,-4.48487,34.1448
179,-5.96208,34.7961
180,-3.81008,34.2726
181,-4.24399,34.7472
182,-4.10763,34.7119
183,-4.51753,34.057
184,-4.52457,34.5522
185,-3.93762,34.9162
186,-4.36625,34.4935
187,-4.48176,34.2048
188,-4.64732,34.5699
189,-3.7909,34.8254
190,-3.7299,34.5468
191,-4.04794,34.7026
192,-4.0963,34.8962
193,-4.54772,34.7564
194,-4.05222,34.6954
195,-4.15858,34.3535
196,-4.59129,34.4065
197,-4.44884,34.3348
198,-5.01113,34.7182
199,-3.87722,34.0178
200,-3.57533,34.259
201,-4.98668,34.7798
202,-4.72699,34.3334
203,-4.33549,34.5525
204,-3.97038,34.8945
205,-4.68293,34.6835
206,-3.71013,34.4323
207,-9.22213,37.2559
208,-4.25265,37.5161
209,-4.50568,37.9914
210,-5.00272,37.8294
211,-5.95775,37.3493
212,-4.6645,37.1601
213,-6.12453,37.3818
214,-4.79985,37.2597
215,-4.16815,37.1619
216,-4.69575,37.3475
217,-4.51088,37.9286
218,-4.28527,37.9235
219,-4.39326,37.2938
220,-4.37237,37.6014
221,-4.14741,37.9182
222,-7.19662,37.3892
223,-9.83395,38.1974
224,-9.53801,38.6107
225,-6.58522,38.4358
226,-4.58906,38.2394
227,-4.66013,38.2998
228,-4.90926,38.5787
229,-4.79026,38.2399
230,-4.83481,38.789
231,-5.10524,38.4529
232,-4.9009,38.1485
233,-5.01279,38.2913
234,-4.8815,38.0737
235,-2.90897,38.6378
236,-4.54307,38.0249
237,-4.38483,38.5612
238,-4.12076,38.7252
239,-4.05425,38.437
240,-4.34439,38.2546
241,-4.10199,38.7516
242,-4.89711,38.7079
243,-4.28469,38.046
244,-4.23971,38.2451
245,-4.16238,38.4962
246,-4.42875,38.9906
247,-4.51714,38.1204
248,-4.15204,38.6028
249,-4.19125,38.2576
250,-4.39013,38.3047
251,-4.32275,38.6399
252,-4.08451,38.167
253,-4.20271,38.5386
254,-4.10547,38.7122
255,-5.29352,38.4856
256,-4.50634,38.5088
257,-5.00695,39.0694
258,-5.35568,39.3762
259,-4.93017,39.6564
260,-5.02009,39.9519
261,-5.46807,39.4761
262,-5.34503,39.7923
263,-5.16629,39.4511
264,-5.22337,39.1552
265,-2.93804,39.7805
266,-6.84386,39.1773
267,-5.87845,39.6874
268,-4.73929,39.2754
269,-4.06761,39.6306
270,-4.1122,39.7243
271,-3.947,39.4746
272,-4.11122,39.2624
273,-4.38216,39.2506
274,-3.96993,39.3328
275,-4.15972,39.9117
276,-4.1837,39.9718
277,-4.36292,39.1492
278,-4.93077,39.1511
279,-10.4755,41.0131
280,-4.96691,41.5804
281,-4.75684,41.2444
282,-5.34547,41.8722
283,-5.63897,41.0181
284,-5.23172,41.3445
285,-5.79918,41.0557
286,-4.88566,41.3836
287,-5.84727,41.1645
288,-4.42161,41.551
289,-6.47489,41.6686
290,-6.12104,41.8264
291,-5.04437,41.5654
292,-4.45241,41.6151
293,-5.12207,41.8636
294,-4.89348,41.8597
295,-4.92407,41.2711
296,-4.45784,41.5562
297,-4.35878,41.8564
298,-4.86698,41.8669
299,-4.05074,41.5507
300,-4.06955,41.5653
301,-4.10527,41.5297
302,-4.09457,41.6205
303,-4.19851,41.4731
304,-4.83467,41.2095
305,-5.77774,41.1698
306,-5.47559,42.386
307,-4.96328,42.3092
308,-5.4246,42.7365
309,-5.11132,42.0527
310,-4.60861,42.2016
311,-5.25378,42.2627
312,-5.53026,42.3544
313,-3.28788,42.987
314,-5.10309,42.9591
315,-5.40288,42.4211
316,-5.63741,43.3085
317,-5.4294,43.8553
318,-5.95708,43.6173
319,-5.14499,43.0326
320,-5.86404,43.2509
321,-5.32932,43.415
322,-3.35574,43.4059
323,-5.26774,43.6139
324,-5.12288,43.2977
325,-5.57892,43.7001
326,-4.49501,43.7572
327,-5.69559,43.9585
328,-4.32262,43.4176
329,-4.4815,43.5204
330,-4.85007,43.7445
331,-4.28909,43.4958
332,-5.05106,43.8498
333,-5.2582,43.4646
334,-17.3087,45.1213
335,-5.86439,45.3153
336,-5.69243,45.4287
337,-5.90583,45.3454
338,-5.50042,45.6621
339,-5.66117,45.4328
340,-5.94384,45.9845
341,-5.38923,45.3961
342,-5.69604,45.2468
343,-3.57779,45.2944
344,-5.67131,45.0546
345,-4.70286,45.8592
346,-5.51735,45.8397
347,-5.38608,45.6934
348,-3.58097,45.9974
349,-4.83533,45.6908
350,-4.70867,45.7315
351,-4.86561,45.777
352,-3.59482,45.8358
353,-5.51319,45.1031
354,-3.61904,45.3831
355,-5.83244,46.9326
356,-6.35695,46.2589
357,-3.80145,46.3471
358,-6.71414,46.9038
359,-5.55178,46.6017
360,-5.11218,46.4611
361,-5.39104,46.9373
362,-6.79229,46.6866
363,-6.20226,46.2951
364,-5.35356,46.0469
365,-5.00322,46.5907
366,-6.36036,46.0917
367,-3.83415,46.4866
368,-5.51291,46.6606
369,-4.8531,46.3362
370,-3.75512,46.9269
371,-3.75179,46.9749
372,-3.86008,46.9916
373,-5.22467,46.919
374,-3.7414,46.6854
375,-4.84484,46.0963
376,-3.73625,46.0117
377,-5.94122,46.9702
378,-6.21261,47.4299
379,-5.56398,47.5197
380,-5.76279,47.018
381,-7.26509,47.734
382,-3.85766,47.1065
383,-6.18475,47.9803
384,-6.01992,47.289
385,-5.79806,47.0134
386,-3.85988,47.126
387,-3.90775,47.0655
388,-3.91634,47.0455
389,-3.85731,47.0242
390,-3.86957,47.0309
391,-5.76519,47.811
392,-6.64679,47.6009
