,0,1
0,-0.843128,1.12044
1,-0.706742,1.52677
2,-0.882045,1.59831
3,-0.897394,1.59896
4,-0.687157,1.48333
5,-0.861082,1.2209
6,-0.919832,1.63735
7,-0.735045,1.46096
8,-0.454037,1.51614
9,-0.814263,1.09394
10,-0.85835,1.5532
11,-0.580258,1.98151
12,-0.904396,1.64914
13,-0.853258,1.41824
14,-0.855769,1.9931
15,-0.790786,1.39967
16,-0.852527,1.52799
17,-0.685929,1.49342
18,-0.896483,1.64494
19,-0.677583,1.19311
20,-0.585168,1.98793
21,-0.710589,1.52459
22,-0.50386,1.8535
23,-0.68463,2.43294
24,-0.622467,2.45465
25,-1.04591,2.27708
26,-0.668151,2.40837
27,-1.30013,2.45513
28,-0.666788,2.83591
29,-0.650459,2.6199
30,-1.06992,2.04177
31,-0.680589,2.49979
32,-0.597671,2.51285
33,-0.627569,2.41693
34,-0.672813,2.48492
35,-0.677198,2.41822
36,-0.670616,2.66832
37,-0.694923,2.18381
38,-0.668055,2.24544
39,-0.647062,2.2776
40,-0.608999,2.14787
41,-0.990051,2.62735
42,-0.574562,2.23026
43,-0.854424,2.98515
44,-0.621235,2.71927
45,-0.653295,2.2702
46,-0.561656,2.43572
47,-0.742645,2.23833
48,-0.88903,2.22515
49,-0.80197,2.59013
50,-0.666346,2.10299
51,-0.615948,2.70482
52,-0.592793,2.55068
53,-0.636836,2.05639
54,-0.613808,2.39827
55,-0.62427,2.08738
56,-0.643743,2.5222
57,-0.968407,2.53677
58,-0.620012,2.43967
59,-0.660847,2.92921
60,-0.656146,2.09342
61,-0.706791,2.0968
62,-1.02348,2.54294
63,-0.671852,2.24276
64,-0.707126,2.20884
65,-0.790057,2.73308
66,-0.478547,2.45477
67,-0.62413,2.79539
68,-0.90859,2.73632
69,-0.731388,2.33656
70,-0.59901,2.02126
71,-0.634432,2.04511
72,-0.528764,2.21666
73,-0.581348,2.61589
74,-0.643046,2.42527
75,-0.581258,2.08985
76,-0.959519,3.19106
77,-0.790668,3.55074
78,-1.65186,3.4307
79,-0.792215,3.60236
80,-0.764722,3.41308
81,-1.12763,3.3593
82,-0.829801,3.26254
83,-0.890833,5.60067
84,-1.45211,5.9105
85,-0.914033,5.42773
86,-1.28204,5.93373
87,-0.875778,5.99396
88,-1.42938,5.92582
89,-0.870586,5.85297
90,-1.16308,6.69543
91,-1.24085,6.15994
92,-1.31415,6.36018
93,-1.4033,6.28394
94,-1.81726,6.61492
95,-1.2046,6.1131
96,-1.60081,6.44647
97,-1.13769,6.61498
98,-1.12586,6.43008
99,-1.20817,6.9764
100,-1.16264,6.56094
101,-1.17392,6.61583
102,-1.49479,6.78886
103,-1.12915,6.42207
104,-1.13061,6.44128
105,-1.27412,6.23373
106,-1.21005,6.28281
107,-1.17975,6.51514
108,-1.24445,6.77951
109,-1.21637,6.55314
110,-1.71346,6.97489
111,-1.12136,6.53489
112,-1.24927,6.79598
113,-1.3025,6.99852
114,-1.27035,6.94242
115,-1.52675,6.9669
116,-1.21715,6.92741
117,-2.43322,6.63628
118,-1.42284,6.03802
119,-1.52242,6.03061
120,-1.13522,6.76857
121,-1.37742,6.07239
122,-1.14661,6.72775
